================================================================================
TOP 100 SHADOW WALLETS — IDENTITY REPORT
Block: 7,738,615   Total shadow TAO: 1,075,902.89
================================================================================
Rank  SS58 Address                                              TAO  Identity
64    5GQnsc8xmdbTp48FoyqHdWTZRf7NDgMPqLHU3RL6KGxRmyEo       785.23  (no identity)
65    5F6ic6sk6B7YiWpDEk7PyQDoNYTYRjDjFmeKVX7mTbzbkskM       760.83  (no identity)
66    5G4qfA5fysxzqa9Pca3FEhdS82sVFVbNSBmVcgo6wfGhDXXk       749.27  (no identity)
67    5HGm2gxRMcD2KT7f5wLLfcbRuwZ9N2nGs6h9oQGjAJorgJDs       744.73  (no identity)
68    5GT8pxYpR69vxVMRcWngh7MXwMBr91t3XiuWQwTCesD1XEpo       739.26  (no identity)
69    5Dyz9CbiskxgLZieq9HfgchK4ZBzYWnPeDWtwm3ydJ5Rqqsd       709.55  (no identity)
70    5E8BhTDhtpJey8A2Nt2PRa7ufjNGAzKtm6XTrXeSrZsESp8w       665.64  (no identity)
71    5FCLgwNCXC3pfyBt9M96x7WopNEPTeHbzpBU5SMFjiFrfkrc       645.62  (no identity)
72    5ESBRggDbfFgpdPWrZcLMYf6Xi24T6mqLaqErQ8Pr9qjAzuY       634.30  (no identity)
73    5GxKYDPTSVA4uvuupTMtzNdifSmoXkfgwmWoQgSC4D66oaMt       634.12  (no identity)
74    5EFFA7VN1g6V1JJejCo1wYdVgYWbQxi6jpXvMfgdzfCGr89D       631.78  (no identity)
75    5HC3CjexJMtGxJiTyZeAWDFzbfvbAW1oFuFKyCQV3Boagrt5       624.17  (no identity)
76    5DwTMekK5Jdzemt1qog4JzmWrpL1LPZy7Xrv8VUJbVCw1bnH       622.42  (no identity)
77    5C7CehxxJAwSKDWcE3nH3Qn1zKPkdaEqTYNHKYdVsxMi3VQ3       610.96  (no identity)
78    5FAcG4hSKKCsgKqn8a19oKLPJrAti78j1H4zXEoqsN1rCMJg       606.91  (no identity)
79    5GduA28Z87d1e7BCkXX2dhk16teZwmELLNvvcGjEanjXFVEq       600.40  (no identity)
80    5Gn9ZeGFN9aAvkx5sTh3sHtpg5Z1CDiQQ2UNvE47VdDjPeuY       600.00  (no identity)
81    5FUUxPJi5oV6w2gFjqXLfyENSdF7domYyjiMwcJMWSmTb9Ak       594.85  (no identity)
82    5GxKZPGrAZXaCc9FCb93HrJpZB2SCoPx1SmtHc8xKV1dNBUV       590.86  (no identity)
83    5HWVPgdKCdaLAW6AczPuRDtR1WvitNU2eBuUxnL8otqoT4Uv       580.60  (no identity)
84    5GiGoAF1Gv1A9qTYUXwGU71iQvUNiAWYkXoiyp4UchHs3wRE       573.33  (no identity)
85    5EPPZadm9hSgxKAZWicgdu9kgAsQfLtPvsZEuFqxConhdeCB       563.09  (no identity)
86    5DtivCNJCJTu4G8NdymKcfBbta9kaFe8pUDhbwiYnnNmunpA       562.64  (no identity)
87    5DnQGgjghexD2r1s99AYEKEdmm3Wffqig9bypBZPfexpX8Sj       561.87  (no identity)
88    5EhghokF2zVxEoZMPb2nxzw197ZGjeZvF516SsjkW1yGtpvT       561.39  (no identity)
89    5CtUzBjrhiM1tBWYnbLHNYzLkykAYpggokW5pLam4585ttGZ       556.66  (no identity)
90    5ELANpDMUDtMeDnCKSsqiTnAH5KMsTYQVU2uFhGmG4gu3xYf       549.32  (no identity)
91    5CqY81dYDbrKzaP517urcoAXdGjuXDyLSxCNqWxVfjzp66Sz       548.15  (no identity)
92    5FaexRCGRoCU7ZSfkpuD4QoSQuCgZhWeUagyH2MMHZMHZKBb       544.01  (no identity)
93    5FuqQQRncRk1anMwVKQGapz8Rck3UWVknUjBGP3D7R3MFQ7e       541.25  (no identity)
94    5HKkCEvBPUx6fG6yhKm8nDBA5yGwLVY5NURfNnHCg5uUkXrw       498.37  (no identity)
95    5G2AAyKVYoESvshkS6vLq4NmjaWoHHv5cCZ2L57ubwQyqdmZ       492.73  (no identity)
96    5ENm74gN9ajYYUvvXwL2g2DbP2MkobAbntqV1Chvmb1gEQBC       450.77  (no identity)
97    5HjEg8txKjAZz6hcrYK6g7JHtdPDoBU76EWH2YJETGM8nuAe       440.05  (no identity)
98    5F97m2GptHLV3f3169yikV6cRUNFxH7FgnLx8KvpGwtcdUgk       434.63  (no identity)
99    5DJo5HqpQWjTAcK1DFzwwNkdhfx1p6ssN8Q8EnUn8XuRaJeN       426.80  (no identity)
100   5CP4ct5pokEdEweSbgrFoSCkynzip2bgr7QXU5nWhgQV4X5w       418.76  (no identity)
================================================================================

Of top 100: 0 have on-chain identity, 100 have none.
